title,institution,address,ncsNm,self_pay,summary
실무자가 되기 위한 실내건축(CAD·SketchUp·Enscape) 집중 클래스,그린컴퓨터아트학원,"서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",실내건축설계,286440,C0055
『컴활1급』핵심만 쏙!쏙! 컴퓨터활용능력 1급(실기)자격증 취득,역삼 그린컴퓨터아카데미,"서울특별시 강남구 강남대로 428(역삼동, 만이빌딩) 5층",사무행정,297000,C0055
"영상디자이너, 영상편집(프리미어 프로)",(재)한국아이티교육재단 한국IT아카데미 구로,"서울특별시 구로구 디지털로32가길 25 (구로동 티타운빌딩) 3, 4층 일부",영상편집,62040,C0031
"ITQ(한글,엑셀,파워포인트)자격증 취득 및 활용",숭실창의인재개발원,서울특별시 동작구 상도동 사당로 4 모은빌딩 3층-4층,사무행정,264000,C0031
"[엑셀,엑세스]컴퓨터활용능력1급 실기 자격증A",(주)KD아카데미,"서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F",사무행정,168300,C0031
기초부터 시작하는 일러스트&포토샵 자격증(GTQ+GTQi)A,(주)KD아카데미,"서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F",편집디자인,167120,C0031
ITQ엑셀 자격증취득,은곡직업전문학교,서울특별시 노원구 동일로 1351 2층(상계동),사무행정,102600,C0031
"전산회계1급 자격증 취득과정(이론,실기)",노원그린컴퓨터아카데미,"서울특별시 노원구 상계로3길 21 (상계동 화일빌딩) 3층, 6층 일부",세무,137760,C0031
커피바리스타 2급 자격증,노원여성인력개발센터,서울특별시 노원구 공릉로 187 건설빌딩 5층,커피관리,215170,C0031
커피바리스타 2급 자격증 속성과정,커피인바리스타학원,서울특별시 강서구 강서로 155 (화곡동 등대빌딩) 3층 일부.,커피관리,127050,C0031
