title,institution,address,self_pay,gov_pay,is_free,summary
미용사(피부)자격증 취득과정,우석미용학원,"서울특별시 서대문구 신촌로 201 (대현동 춘강빌딩) 2층, 3층",561600,1604560,False,C0055
빅데이터분석(ElasticStack)활용&자바웹개발자,더조은컴퓨터아카데미 종로,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,400000,10347370,False,C0104
빅데이터 분석 기반 AI서비스 기획&개발 부트캠프,아시아경제 교육센터,"서울특별시 중구 퇴계로 166(주자동, 흥국빌딩) 3층",300000,5657820,False,C0104
심화_AI를 활용한 백엔드 아키텍처 심화 과정,팀스파르타주식회사,"서울특별시 강남구 테헤란로 311(역삼동, 아남타워빌딩) 3~4층",300000,5097490,False,C0104
생성형 AI&LLM 기반 보안 시스템 엔지니어 양성 과정,글로벌아이티(IT)인재개발학원,"서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부",400000,9113280,False,C0104
[오토캐드]2D AutoCAD 도면설계,이젠아카데미컴퓨터학원,서울특별시 송파구 중대로 109 (가락동 대동빌딩) 801호 일부,143220,409200,False,C0031
"기초부터 포토샵, 일러스트(GTQ자격증)",이젠아카데미컴퓨터학원,서울특별시 송파구 중대로 109 (가락동 대동빌딩) 801호 일부,139020,397200,False,C0031
아파트 회계 실무,이테시스평생교육원,"서울특별시 서초구 방배천로2길 7(방배동, 웅지빌딩) 5층 501호(방배동)",68880,196800,False,C0031
"[단기완성] 숏폼&영상편집디자인(유튜브,인스타,틱톡)",더조은컴퓨터아카데미 종로,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,168480,374400,False,C0031
ERP정보관리사2급(회계+인사)취득과정,하이미디어아카데미인재개발원,"서울특별시 종로구 인사동길 12(인사동, 대일빌딩) 7층",76590,510600,False,C0031
